CarModel0,Mass_kg0,CarModel1,Mass_kg1,CarModel2,Mass_kg2,CarModel3,Mass_kg3,CarModel4,Mass_kg4,SumRandomValue,TotalMass,TotalLength,Velocity1,GravityCenter1,Velocity2,TheoreticalVelocity2,GravityCenter2,T12,TheoreticalT12,Velocity3,TheoreticalVelocity3,GravityCenter3,T23,TheoreticalT23
52FTGONDOLA,29710,73FTCENTERBEAM,28120,23.5kGALTANK,35110,null,null,null,null,185.03391667622827,92940,58.84,3.503803213490395,-2.181687411663439,5.768419703821683,5.809959289099661,-3.8998479203242202,25.919,25.818,3.098124091244668,3.2491567415618547,-4.040327321517094,61.492,60.431
73FTCENTERBEAM,127235.02257527738,BNCOIL,107565.80762030982,5188COVEREDHOPPER,63104.15246137256,null,null,null,null,-302.10132945453006,297904.98265695974,55.92,2.8183266800736155,-2.164916842914065,5.825647296908468,5.803607006743348,-3.9077870000000012,27.576,27.631,4.01013471604255,3.9435290074699227,-4.039290915807411,55.211,55.599
29.3kGALTANK,36740,29.3kGALTANK,36740,29.3kGALTANK,102177.71207963886,3285CFCOVEREDHOPPER,59328.49612444007,25.39kGALTANK,40910,-263.41778485469473,275896.20820407895,85.69,3.8248719649102556,-1.9677252375227285,6.4069992071699104,6.388558883896955,-3.853393166340843,24.050,24.086,4.408181924155621,4.353669086363753,-4.031227841544993,50.011,50.273
25.39kGALTANK,40910,68FTFLAT,41581.257574583076,23.5kGALTANK,120094.0665313884,BIAUTORACK,60212.042566307326,null,null,-266.16609818409603,262797.36667227885,86.1,3.516326006324108,-1.9317500496653042,6.37294025528374,6.353049191717703,-3.8449115152457116,24.820,24.861,4.596892546440647,4.540371987359085,-4.029847714193703,49.202,49.464
68FTFLAT,37060,5188COVEREDHOPPER,28120,BNCOIL,107533.64070699866,null,null,null,null,142.44860154648035,172713.64070699865,53.72,1.4673381387289033,-2.3769354013373993,4.717100498998475,4.739066860218958,-3.9077870000000003,35.155,35.065,1.7768859963858974,1.890868920971678,-4.049139129260697,83.879,82.413
66FTGONDOLA,122464.67103481367,3285CFCOVEREDHOPPER,68048.91026803006,null,null,null,null,null,null,10.864510488187051,190513.58130284373,34.22,3.6045202119869257,-2.372862884523734,5.822483955739623,5.823829589661913,-3.9077870000000003,25.165,25.159,3.9349465673247206,3.9384362473434886,-4.048884129223945,55.594,55.579
73FTCENTERBEAM,28120,4750CFCOVEREDHOPPER,84951.2939138851,23.5kGALTANK,35110,29.3kGALTANK,43195.09556356461,3285CFCOVEREDHOPPER,24030,-25.23225199019609,215406.3894774497,90.79,3.862884147987426,-1.8648214821389826,6.51010896885816,6.507919217829858,-3.8302998731265716,23.853,23.854,4.498260798963192,4.491941112193634,-4.027350635411258,49.040,49.072
52FTGONDOLA,58716.32039892299,5188COVEREDHOPPER,88370.5562027172,BNCOIL,109046.82276658542,null,null,null,null,34.0281705954465,256133.6993682256,48.72,2.8906221366670057,-2.3305522979225763,5.449886329081564,5.453021237180222,-3.9077870000000003,27.982,27.971,3.226103469284028,3.236364005466304,-4.046893506961442,62.642,62.571
TRIAUTORACK,55428.117992330546,5188COVEREDHOPPER,113183.1157267211,66FTGONDOLA,96260.1213124662,33.7kGALTANK,45630,null,null,48.68637892867899,310501.35503151786,87.72000000000001,1.421790592006757,-1.9186762337049275,5.535761792769947,5.539326886068152,-3.851149527898516,33.795,33.778,3.2476252909801007,3.259895836159744,-4.0288494492252225,61.490,61.406
73FTCENTERBEAM,28120,4750CFCOVEREDHOPPER,108657.65039288187,null,null,null,null,null,null,46.70242048446681,136777.6503928819,42.85,3.407607177600202,-2.4378672941933073,5.468300166554361,5.47629370812641,-3.907787,26.346,26.324,3.1284739110605804,3.1558926037970547,-4.051943018834866,63.213,63.013
73FTCENTERBEAM,38011.912853039306,73FTCENTERBEAM,28120,null,null,null,null,null,null,24.1798350725131,66131.9128530393,49.1,3.631561092751476,-2.2197347048516343,5.736761619885803,5.744531218247946,-3.9077870000000003,25.618,25.597,2.829871773485159,2.8599854231231,-4.041677303099062,63.933,63.704
66FTGONDOLA,100983.62350727235,29.3kGALTANK,36740,73FTCENTERBEAM,28120,BNCOIL,106997.85875257503,BIAUTORACK,45360,190.6477569393904,318201.48225984734,106.53999999999999,1.889987687152849,-1.4060748490106547,6.216077727618394,6.227990326172559,-3.662136270010539,28.562,28.525,4.645467232874516,4.678225828281658,-4.016423004642438,48.700,48.558
33.7kGALTANK,103165.70227157245,null,null,null,null,null,null,null,null,10.446673599027491,103165.70227157245,19.98,3.5765271290568736,-2.498468,5.594858851092794,5.597266565854143,-3.9077870000000003,25.533,25.525,3.7053363162854644,3.712230422818612,-4.054794321708444,58.270,58.231
BIAUTORACK,49835.59894584071,33.7kGALTANK,97787.73592685159,33.7kGALTANK,45630,null,null,null,null,82.03330847814934,193253.3348726923,68.56,1.6053696926646157,-2.1218254089855177,5.298757327666541,5.308877891632902,-3.892939829316854,33.314,33.273,2.966714076312884,3.002857003340595,-4.0375734063919175,65.680,65.394
3285CFCOVEREDHOPPER,54344.48384022828,100TROPENTOPHOPPER,34026.38676629755,25.39kGALTANK,61056.65624615614,4750CFCOVEREDHOPPER,66655.97514859212,TRIAUTORACK,72130.92826438711,-155.60747646006877,288214.4302656612,94.05000000000001,2.5464149312389286,-1.7065780621637179,6.033028119706652,6.021950392928151,-3.76621814831131,27.897,27.925,3.9402271704892695,3.9059865497757302,-4.023310012894754,53.654,53.844
33.7kGALTANK,109668.03379641948,100TOPENTOPHOPPER,56877.49815919079,33.7kGALTANK,88854.02090399693,BNCOIL,76738.30563928306,BNCOIL,19140,-171.84412077105668,351277.8584988903,82.49,2.0286722516655136,-1.8519302756357745,5.840177841822833,5.829572704055424,-3.819839679353937,30.694,30.726,3.9646459324622616,3.9331678269729538,-4.026114577075956,54.838,55.020
100TOPENTOPHOPPER,98357.30604915874,BIAUTORACK,79561.18117411611,null,null,null,null,null,null,159.25508920470696,177918.48722327483,43.75,3.8310239079683397,-2.2196172098422586,6.131629957172664,6.150191435546052,-3.9077870000000003,24.277,24.236,4.037213205825794,4.093628825094748,-4.041672460797814,53.437,53.141
73FTCENTERBEAM,96710.32299981923,68FTFLAT,84434.95046466669,BIAUTORACK,45360,100TOPENTOPHOPPER,28030,BNCOIL,62723.80855189289,-323.1601133406799,317259.0820163788,104.34,2.0773086530625298,-1.4892766297250115,6.150950032505014,6.130132576353772,-3.681755594092705,28.485,28.542,4.449013885846235,4.3910544983612825,-4.018206940705913,50.004,50.281
25.39kGALTANK,40910,100TROPENTOPHOPPER,88341.58480660069,52FTGONDOLA,29710,null,null,null,null,-281.895417563595,158961.5848066007,51.74,1.5244672092712768,-2.2121567057660747,5.0835206293468636,5.040287724181479,-3.907787,34.124,34.287,2.5088176200598076,2.3253661961835754,-4.041400773819685,71.889,73.733
TRIAUTORACK,47990,33.7kGALTANK,69179.04824460612,23.5kGALTANK,35110,null,null,null,null,-198.95342350785177,152279.04824460612,65.52,3.635406668667946,-2.1425131141616482,6.153137684288423,6.126775679042574,-3.8973033466437816,24.785,24.839,4.25312339822807,4.174568013108935,-4.038524603973818,52.141,52.549
52FTGONDOLA,86033.50981561148,33.7kGALTANK,94235.5487679493,BNCOIL,59520.06113991523,null,null,null,null,174.91622751412055,239789.119723476,51.019999999999996,2.1252804418298075,-2.2208746256388814,5.359870453715717,5.377206790296927,-3.907787000000001,30.915,30.857,3.1874803637087856,3.245840457792066,-4.041827146922514,63.595,63.161
52FTGONDOLA,29710,68FTFLAT,37060,null,null,null,null,null,null,-32.58205406728969,66770,39.7,2.900524989899889,-2.328171142878538,5.106809142854114,5.095485259447168,-3.9077870000000003,28.870,28.899,1.4712310825460848,1.3917303193893198,-4.046780453919695,84.007,85.107
5188COVEREDHOPPER,28120,100TROPENTOPHOPPER,26540,66FTGONDOLA,86436.22174269632,4750CFCOVEREDHOPPER,63639.23220294896,29.3kGALTANK,54080.89243372277,-149.72869138155238,258816.346379368,91.86,1.921952429312738,-1.9280280978877853,5.598924378752446,5.586127543297536,-3.845115518972606,31.183,31.223,3.335273431423334,3.2917282367341216,-4.0306083647193525,60.446,60.751
BIAUTORACK,52380.338852433226,BIAUTORACK,48487.46001202262,null,null,null,null,null,null,124.15228970807522,100867.79886445584,57.2,1.5869628709236183,-2.16887407117484,5.031925468845664,5.062229084203304,-3.907787000000001,34.284,34.163,1.607655092195303,1.7873108596308198,-4.039464146954346,82.589,80.347
33.7kGALTANK,46228.200196200356,4750CFCOVEREDHOPPER,106695.27850126941,73FTCENTERBEAM,28120,null,null,null,null,-117.82523415896907,181043.47869746975,62.83,2.856050016127996,-2.0593831930505746,5.8819930973357195,5.868253054267283,-3.8959859666516565,27.539,27.572,3.7845039618175287,3.740579423838081,-4.034579144227812,56.205,56.472
4750CFCOVEREDHOPPER,53856.047188840465,68FTFLAT,69554.64727923655,null,null,null,null,null,null,7.51515939440489,123410.69446807701,40.650000000000006,2.6933191997353125,-2.327536953578897,5.3044638924744,5.306079553137416,-3.907787000000001,28.919,28.911,2.878587196142986,2.883582505581582,-4.0467515686231605,66.501,66.465
4750CFCOVEREDHOPPER,29260,25.39kGALTANK,40910,null,null,null,null,null,null,-76.44475414749226,70170,36.510000000000005,2.9588029919547623,-2.384107241128688,5.160636140905683,5.135151840092287,-3.9077870000000003,28.442,28.509,2.223385720243021,2.101145053213948,-4.049412828518851,74.038,75.336
3285CFCOVEREDHOPPER,24030,null,null,null,null,null,null,null,null,-90.10775142195457,24030,12.76,3.930477911694034,-2.5598379999999996,5.233495598257673,5.14881880152416,-3.907787,25.579,25.770,1.8983433637471407,1.3680570431901367,-4.057681702930424,76.954,83.454
3285CFCOVEREDHOPPER,24030,100TOPENTOPHOPPER,87223.98192604759,29.3kGALTANK,36740,BIAUTORACK,61618.48445007128,null,null,-207.76564224576083,209612.4663761189,74.75,3.130163385405079,-1.939201277717703,6.129391450080096,6.109281870105424,-3.8628172663889906,26.422,26.469,4.092085647335731,4.030682391428348,-4.0297492630373135,52.953,53.284
5188COVEREDHOPPER,103286.1798719724,29.3kGALTANK,36740,5188COVEREDHOPPER,129536.65683501643,73FTCENTERBEAM,55926.663430127526,null,null,66.62214000807033,325489.5001371164,78.15,2.8323453625528408,-1.902923953300198,6.125236147278905,6.129351271886225,-3.8420991780008973,27.293,27.279,4.346762526985602,4.35898728154082,-4.028236860340713,51.495,51.438
33.7kGALTANK,66117.28813794839,100TOPENTOPHOPPER,50548.305612821176,null,null,null,null,null,null,-241.8700496659032,116665.59375076956,35.13,2.4127536228418007,-2.370296133794625,5.083287331766819,5.032581952654428,-3.9077870000000003,30.303,30.455,2.5322680851378507,2.3183355233540786,-4.048763789154005,71.560,73.695
BIAUTORACK,45360,5188COVEREDHOPPER,55669.92442492392,null,null,null,null,null,null,-31.052198754280724,101029.92442492393,46.28,2.9377796034912738,-2.3413998653080377,5.25840385111328,5.251322719507959,-3.907787,28.326,28.342,2.3200928357617534,2.286853925294097,-4.047403440709524,72.098,72.433
73FTCENTERBEAM,66569.11549595097,3285CFCOVEREDHOPPER,72160.17997424962,100TROPENTOPHOPPER,26540,100TROPENTOPHOPPER,26540,null,null,236.64716849392767,191809.2954702006,69.67,3.7792903964040025,-1.988126808934746,6.319870428733648,6.3440349103497375,-3.8790895047744054,24.386,24.332,4.059946889638502,4.134577264045226,-4.03160911206231,52.307,51.927
53FTWELL,24950,68FTFLAT,37060,BIAUTORACK,59637.27651863537,73FTCENTERBEAM,89617.98229675903,null,null,30.37444078607004,211265.2588153944,98.89999999999999,1.6058748685346393,-1.952241107538107,5.457208351278942,5.460524669394652,-3.8246303742510714,32.484,32.469,3.3271172777836946,3.337990923804495,-4.032581337316329,61.146,61.074
BIAUTORACK,56329.41281638933,null,null,null,null,null,null,null,null,-65.45986820533574,56329.41281638933,28.6,3.0029338837996438,-2.425198,5.0815022324831824,5.053405938892259,-3.9077870000000003,28.346,28.419,1.7162552143263463,1.5416052373947984,-4.051346563297554,80.624,82.846
4750CFCOVEREDHOPPER,29260,33.7kGALTANK,95822.7283991986,100TROPENTOPHOPPER,111591.51249266799,null,null,null,null,-135.29331690911403,236674.2408918666,54.46,3.325233867754163,-2.3262925940647663,5.639009914865546,5.626358368011549,-3.9077870000000003,26.346,26.373,3.3605259404762275,3.316771884906294,-4.046777340370813,60.431,60.739
68FTFLAT,60225.90173995121,23.5kGALTANK,116836.58835182556,null,null,null,null,null,null,-23.228692021895455,177062.49009177677,39.290000000000006,3.507737117877538,-2.410713396963764,5.681938114527107,5.679202813773101,-3.9077870000000003,25.653,25.656,3.7221097945627113,3.7127706333890997,-4.050666026307614,57.695,57.758
5188COVEREDHOPPER,28120,23.5kGALTANK,35110,66FTGONDOLA,33610,null,null,null,null,105.7239928140715,96840,56.080000000000005,2.3645595067782637,-2.1813929714993803,5.156168457527907,5.181643631390553,-3.9073731448910523,30.857,30.771,1.5864879916861574,1.7407036820151156,-4.040152154172864,81.816,79.894
BIAUTORACK,78292.9627913153,29.3kGALTANK,36740,null,null,null,null,null,null,132.2400362492391,115032.9627913153,46.84,1.6970426479814147,-2.242278626354869,4.975191615476542,5.004005071699031,-3.9077870000000003,33.724,33.613,1.7957157038505644,1.948457340012665,-4.0427376576485985,80.840,79.006
73FTCENTERBEAM,122173.75522124447,null,null,null,null,null,null,null,null,48.52989743911428,122173.75522124447,24.55,3.4599944152507516,-2.4596230000000006,5.614521292803722,5.623613098627077,-3.9077870000000003,25.799,25.776,3.752438581314901,3.7801459559392265,-4.0529664172700315,57.858,57.689
100TROPENTOPHOPPER,26540,25.39kGALTANK,115998.15526867655,5188COVEREDHOPPER,78289.63941138027,null,null,null,null,-194.9314905972639,220827.7946800568,52.07,2.13983313806928,-2.2846969407932627,5.1890161076093095,5.1676705174982445,-3.907787000000001,31.145,31.211,2.7820581754926743,2.6999143752089876,-4.044795434490162,68.297,69.031
100TROPENTOPHOPPER,73469.21682547424,100TROPENTOPHOPPER,32249.210133223038,23.5kGALTANK,68751.99948770196,3285CFCOVEREDHOPPER,116059.53829825288,null,null,-237.85454994293087,290529.96474465216,62.059999999999995,1.7844670783535337,-2.225969541591855,5.130433245902745,5.110473009301205,-3.893815786254472,32.828,32.896,2.628793451248684,2.5483683292126855,-4.04245457549906,70.032,70.790
4750CFCOVEREDHOPPER,106383.1145570688,null,null,null,null,null,null,null,null,-13.56814454580379,106383.1145570688,18.3,2.4204564233903687,-2.512748,4.890496580466968,4.88731150605097,-3.9077870000000003,30.472,30.478,2.469657822888886,2.4558679476986116,-4.055465725699324,73.697,73.843
53FTWELL,88202.4616900192,5188COVEREDHOPPER,28120,52FTGONDOLA,29710,3285CFCOVEREDHOPPER,96494.15090102234,53FTWELL,63269.083520849774,-164.20304450311596,305795.6961118913,94.59,2.0598960811160136,-1.772590694644696,5.899336861198113,5.887900914082276,-3.7737606720325156,29.473,29.505,4.204244025543497,4.171421039747732,-4.026135721835287,52.868,53.044
52FTGONDOLA,29710,25.39kGALTANK,40910,null,null,null,null,null,null,-239.3458515299034,70620,35.56,1.7609937846545918,-2.3863515075049566,4.665458164927767,4.577098029439017,-3.9077870000000003,34.022,34.350,1.3309745726012274,0.4080772328793575,-4.049518272381018,91.758,109.374
73FTCENTERBEAM,38446.67937536601,73FTCENTERBEAM,28120,68FTFLAT,122304.88916871067,33.7kGALTANK,78389.34701561744,23.5kGALTANK,35110,91.8834285283072,302370.9155596942,108.37,1.9171379732432619,-1.7596926879943788,5.832087754657965,5.838462436928433,-3.8001261258159875,30.257,30.233,3.7802394206442864,3.8004650791879513,-4.025752699268895,55.835,55.720
TRIAUTORACK,73169.35489847862,73FTCENTERBEAM,59260.101659385,68FTFLAT,111360.05275711551,66FTGONDOLA,104424.98010441144,null,null,-146.94189056133365,348214.48941939056,96.96000000000001,1.7049487185713743,-1.8924612539677215,5.669634304107424,5.660181752852914,-3.8068854976455815,31.299,31.327,3.8793927010810503,3.8512517044385333,-4.030333534479506,56.086,56.256
100TROPENTOPHOPPER,39591.47351059164,100TROPENTOPHOPPER,38091.29993735806,null,null,null,null,null,null,-207.35102739091462,77682.7734479497,32.36,1.8969691927883063,-2.3905820846358936,4.748080093042806,4.678834364390209,-3.907787000000001,33.199,33.443,1.6586932645859063,1.1962715331404337,-4.049717101990132,85.275,92.093
68FTFLAT,37060,100TROPENTOPHOPPER,117748.68242647378,null,null,null,null,null,null,-52.07356592036834,154808.68242647377,38.53,3.863224624727922,-2.4523658386369602,5.810412079630807,5.80319672493261,-3.9077870000000003,24.527,24.539,3.88587036653889,3.8631922810306616,-4.0526250793860275,55.930,56.067
66FTGONDOLA,33610,3285CFCOVEREDHOPPER,107474.55990700157,TRIAUTORACK,75053.01567588172,null,null,null,null,140.1067526974478,216137.57558288326,62.82,1.5285574333660592,-2.1450472538948393,5.241258365530553,5.25694772971977,-3.901533033880946,33.788,33.725,2.796859479610733,2.8555181126807905,-4.038419078225657,67.658,67.163
33.7kGALTANK,45630,null,null,null,null,null,null,null,null,-43.555278531067,45630,19.98,3.825283125129129,-2.498468,5.566455179933944,5.545467028087916,-3.907787,25.062,25.105,3.254444463676661,3.180441381963174,-4.054794486169087,61.637,62.177
52FTGONDOLA,122315.72587119564,100TROPENTOPHOPPER,33939.72913554877,null,null,null,null,null,null,44.526971149086734,156255.45500674442,33.53,2.8163763304595837,-2.307667990784863,5.447362367265367,5.4541117428274335,-3.9077870000000003,28.178,28.157,3.199074863608883,3.2215750469495568,-4.045815601763651,62.876,62.714
73FTCENTERBEAM,28120,null,null,null,null,null,null,null,null,-131.54239800865608,28120,24.55,3.139260158340446,-2.459623000000001,5.106687742421134,4.996564083397284,-3.9077870000000003,27.919,28.209,2.3054019842448907,1.7644584117142272,-4.052965849147019,73.816,79.897
52FTGONDOLA,29710,5188COVEREDHOPPER,92177.97763226632,52FTGONDOLA,29710,23.5kGALTANK,35110,73FTCENTERBEAM,127014.20735942625,-0.4704652585235749,313722.18499169254,93.87,2.056060667832184,-1.8950740685542902,5.723771017338122,5.723592288033171,-3.812329912368754,30.381,30.377,3.781127146808364,3.7812089647986378,-4.029691869964527,56.487,56.490
25.39kGALTANK,125064.15840731075,66FTGONDOLA,33610,null,null,null,null,null,null,-67.83776320313673,158674.15840731075,39.67,2.8079830117811397,-2.2201168793749155,5.605438554961814,5.595920123488257,-3.907787,28.007,28.029,3.397594431828835,3.3651628592054355,-4.041696169073538,60.436,60.665
52FTGONDOLA,76245.7059302886,23.5kGALTANK,74804.66514282067,null,null,null,null,null,null,24.452083580756778,151050.37107310927,34.290000000000006,2.1487490252122106,-2.377185192415399,4.954620845288459,4.958943319610127,-3.907787000000001,31.549,31.531,2.2008181884516094,2.218934122493529,-4.049086716449209,76.199,76.008
53FTWELL,24950,5188COVEREDHOPPER,28120,4750CFCOVEREDHOPPER,30745.216730739598,23.5kGALTANK,61407.729278669736,BIAUTORACK,80070.71310598153,319.18241633827984,225293.65911539085,104.91999999999999,1.4708527876175534,-1.8558259817944283,5.356272063524387,5.388592426145787,-3.801390095943144,33.386,33.261,2.527909705621397,2.6609419470116302,-4.029150307634307,68.167,67.011
BNCOIL,19140,BNCOIL,19140,null,null,null,null,null,null,-119.9294092580648,38280,27.38,3.6689898266843897,-2.4355680000000004,5.237871791085158,5.168951811658133,-3.9077870000000003,26.350,26.513,1.8245360476571357,1.3877734319672421,-4.051834035025633,78.035,83.498
TRIAUTORACK,47990,66FTGONDOLA,95565.36369829116,null,null,null,null,null,null,87.68966017126695,143555.36369829116,50.06,2.9238778747534515,-2.3436416612082502,5.423756978250634,5.438000342352118,-3.907787000000001,27.920,27.880,3.1546569796102735,3.203853659408354,-4.047507576757496,63.336,62.973
68FTFLAT,79417.79994773299,33.7kGALTANK,45630,3285CFCOVEREDHOPPER,24030,66FTGONDOLA,33610,null,null,-4.002676726337114,182687.799947733,76.55,3.0880536724615566,-1.86627405672453,6.133612531013522,6.133215491317718,-3.8441012647004005,26.692,26.690,3.9368501359265613,3.935330973902855,-4.02670993626477,53.739,53.751
3285CFCOVEREDHOPPER,60924.33182219061,33.7kGALTANK,95842.32814403808,68FTFLAT,99617.43256607905,BIAUTORACK,46597.286039737635,BNCOIL,105383.90229469702,-346.84293523388214,408365.28086674237,97.38,1.635646456913195,-1.7024511159257014,5.872705986890599,5.854344794868449,-3.7442579571027172,31.145,31.204,4.23746416120772,4.1857834869658115,-4.023512353586205,52.627,52.899
100TROPENTOPHOPPER,90903.80562735323,null,null,null,null,null,null,null,null,-140.32160633732087,90903.80562735323,16.18,3.537775979251745,-2.530768,5.447215860499685,5.411287885897653,-3.9077870000000003,25.927,26.007,3.3378761656609353,3.2164545544644754,-4.0563145743803295,61.749,62.634
53FTWELL,24950,73FTCENTERBEAM,52824.15207441034,TRIAUTORACK,77367.10149878464,null,null,null,null,164.4769347607742,155141.253573195,76.55000000000001,2.518218135289559,-2.120940836483263,5.447950559592059,5.472055520662391,-3.8849021632517022,29.621,29.545,2.6721171691230117,2.768109296789027,-4.037604658746235,67.060,66.256
53FTWELL,24950,100TROPENTOPHOPPER,43001.87555601725,29.3kGALTANK,65850.83892921449,null,null,null,null,124.9096602928428,133802.71448523173,57.81999999999999,3.2279641919285327,-2.2987615606576455,5.574550576115023,5.595323734112301,-3.907787000000001,26.843,26.789,3.1847839707345074,3.257207846427641,-4.0455474830039515,62.119,61.602
68FTFLAT,39214.53591774096,66FTGONDOLA,72793.41853722854,null,null,null,null,null,null,-149.8244385348745,112007.9544549695,43.81,2.621078114692925,-2.3555141794192593,5.250533463708431,5.218930875249575,-3.907787000000001,29.230,29.318,2.962159726882152,2.845623154138481,-4.048066611825525,66.228,67.209
23.5kGALTANK,126625.31253602884,null,null,null,null,null,null,null,null,58.56326854674157,126625.31253602884,16.94,3.8053847749142764,-2.524308,5.654863832195519,5.665516387425716,-3.9077870000000003,24.861,24.835,3.670467609985723,3.7029602982905474,-4.0560122198035256,58.131,57.931
68FTFLAT,79393.82921178287,4750CFCOVEREDHOPPER,118051.50047420186,3285CFCOVEREDHOPPER,24030,null,null,null,null,-22.982589444873653,221475.32968598473,53.410000000000004,3.6788702441735057,-2.198673353348653,6.0944026100089195,6.092387858558516,-3.9077870000000003,24.727,24.728,4.0656150335071946,4.058906110066064,-4.040779409824105,53.496,53.536
53FTWELL,24950,52FTGONDOLA,71017.92225826836,100TOPENTOPHOPPER,28030,73FTCENTERBEAM,45329.23329027604,33.7kGALTANK,82118.92146564966,146.14473449153948,251446.07701419404,100.43,2.6904949685970987,-1.853006993846547,5.961017164707009,5.972990431954115,-3.800771433380603,27.778,27.742,4.002441293063356,4.038860072471566,-4.028389013729829,53.875,53.680
53FTWELL,24950,3285CFCOVEREDHOPPER,127023.83365090255,BIAUTORACK,45360,66FTGONDOLA,33610,100TROPENTOPHOPPER,38377.60227886706,-110.13117442481845,269321.4359297696,102.4,1.604146261186033,-1.6073872609046915,5.847685169568813,5.8388754834097,-3.731044400365893,32.088,32.117,3.7624782182944356,3.735516654142824,-4.018056339057984,55.408,55.568
52FTGONDOLA,62516.37763521476,33.7kGALTANK,77353.70038335898,null,null,null,null,null,null,46.69779367442392,139870.07801857375,37.33,3.8009795878455495,-2.3566452492976824,5.923047509797589,5.930282554262236,-3.9077870000000003,24.551,24.533,3.9746347005204763,3.995915787553486,-4.0481199577486535,54.841,54.726
29.3kGALTANK,53237.67204926173,TRIAUTORACK,58709.53352381054,null,null,null,null,null,null,-12.750600311470379,111947.20557307228,46.84,3.389130720185533,-2.235858331884233,5.776805573284442,5.774524133383633,-3.907787,26.058,26.060,3.4062264664991226,3.397543804285179,-4.042436818281274,59.291,59.354
BNCOIL,108783.14687262446,null,null,null,null,null,null,null,null,3.6467480955874407,108783.14687262446,13.69,3.887302068193297,-2.551933,5.657843088020306,5.658607327166157,-3.9077870000000003,24.665,24.660,3.7054537637498646,3.7075272769230554,-4.057310861211248,57.885,57.877
66FTGONDOLA,72175.53496456545,null,null,null,null,null,null,null,null,-38.22520233361239,72175.53496456545,21.46,2.637014615154693,-2.4858880000000005,5.048437985840011,5.035437240706487,-3.9077870000000003,29.405,29.439,2.7950030405574897,2.7454741017271034,-4.054203022851099,69.179,69.630
73FTCENTERBEAM,28120,100TROPENTOPHOPPER,26540,5188COVEREDHOPPER,28120,23.5kGALTANK,110894.17538646591,null,null,29.16532773232234,193674.1753864659,75.35000000000001,3.690109817558275,-2.2562399440684295,5.8539493767876944,5.857244377005823,-3.889185689058083,25.155,25.145,3.524817027463006,3.5350717404417438,-4.043904076510265,57.904,57.844
BNCOIL,99478.24734784677,52FTGONDOLA,29710,BIAUTORACK,72109.30925295757,52FTGONDOLA,63162.40720311298,null,null,-99.35388222993146,264459.9638039173,76.99000000000001,3.2726605487680738,-1.8951802005060332,6.284841859525768,6.277251045480118,-3.8223768898662183,25.758,25.773,4.545025606433923,4.524038231685547,-4.028208970703506,49.705,49.805
25.39kGALTANK,40910,BNCOIL,94602.29797948492,25.39kGALTANK,40910,4750CFCOVEREDHOPPER,30954.166956385572,66FTGONDOLA,111734.90238105886,213.34062891166883,319111.36731692933,89.87,1.733525232898825,-1.8801762439550544,5.66469233430957,5.679475645076167,-3.813888221176637,31.783,31.728,3.7242561090872734,3.7698674840572513,-4.028739772446214,57.170,56.895
29.3kGALTANK,81824.53841086072,25.39kGALTANK,40910,TRIAUTORACK,47990,53FTWELL,35502.05640870083,53FTWELL,24950,208.43148261397835,231176.59481956155,111.85000000000002,3.646584551269928,-1.0514189632469852,7.163514792218788,7.178964195081638,-3.534195624826644,22.511,22.481,5.7571076308321985,5.79616081712756,-4.004139536188229,40.833,40.714
52FTGONDOLA,62546.16707544688,52FTGONDOLA,126821.70916246793,null,null,null,null,null,null,-140.9904627403196,189367.8762379148,34.7,3.964331486405531,-2.4234041962123616,5.989198576850407,5.97352119681367,-3.907787000000001,23.976,24.004,4.272284295987609,4.226457878120268,-4.051262130318602,52.828,53.073
BIAUTORACK,54659.96262385698,5188COVEREDHOPPER,88989.06522510444,52FTGONDOLA,29710,null,null,null,null,-343.65949406395043,173359.0278489614,63.63,3.1111584656996687,-2.1416496838926,5.808535567403486,5.766048263375303,-3.902068752888746,26.833,26.937,3.5050624019668306,3.360756891629894,-4.038399719987651,58.441,59.393
100TOPENTOPHOPPER,28030,TRIAUTORACK,47990,66FTGONDOLA,33610,100TOPENTOPHOPPER,45759.66991870532,29.3kGALTANK,99657.91148616228,174.33973519537705,255047.58140486758,98.60000000000001,2.9172033984457624,-1.9499872331624692,5.871063614417316,5.885445429187235,-3.8096706422133026,27.093,27.052,3.7847251762927008,3.829762443836371,-4.033166904568932,55.615,55.358
3285CFCOVEREDHOPPER,55323.910037466325,BIAUTORACK,45360,TRIAUTORACK,74001.44885938778,53FTWELL,80729.71542227376,5188COVEREDHOPPER,28120,27.06713063775237,283535.07431912783,111.04000000000002,3.8541100376841095,-1.4382304505280505,6.9236614482045065,6.925330862333587,-3.6640729031432944,22.745,22.739,5.3050303331479345,5.3096434464325295,-4.014745904792503,43.489,43.475
33.7kGALTANK,74096.24465561617,100TROPENTOPHOPPER,26540,52FTGONDOLA,29710,TRIAUTORACK,47990,null,null,379.89303490622206,178336.24465561617,82.11,2.5956612817064504,-1.8056223779516796,5.883722102081275,5.927941657672809,-3.798662635282953,28.811,28.677,3.5067791617497113,3.653692271394273,-4.02433515789194,57.253,56.357
73FTCENTERBEAM,28120,100TROPENTOPHOPPER,91514.00580850452,5188COVEREDHOPPER,109990.75300831499,TRIAUTORACK,77048.40096059874,null,null,-48.87538295446387,306673.15977741824,87.01,3.6193709189876544,-1.9640174276519067,6.426630400438767,6.423564717601434,-3.8640208144028625,24.518,24.522,4.656215691677808,4.647356722367953,-4.0307086667994065,48.784,48.827
