CarModel0,Mass_kg0,CarModel1,Mass_kg1,CarModel2,Mass_kg2,CarModel3,Mass_kg3,CarModel4,Mass_kg4,SumRandomValue,TotalMass,TotalLength,Velocity1,GravityCenter1,Velocity2,TheoreticalVelocity2,GravityCenter2,T12,TheoreticalT12,Velocity3,TheoreticalVelocity3,GravityCenter3,T23,TheoreticalT23
66FTGONDOLA,65926.48383931987,100TROPENTOPHOPPER,50616.80008078138,73FTCENTERBEAM,115197.73328777857,33.7kGALTANK,45630,100TOPENTOPHOPPER,28030,33.98069773380236,305401.0172078798,97.32000000000001,1.6449930808369295,-1.6501356353986163,5.987482583308988,5.989638574229537,-3.7733503435905007,30.858,30.847,4.283361985866046,4.290272517647485,-4.020980760324903,52.067,52.035
23.5kGALTANK,83343.69575358038,25.39kGALTANK,55432.80623002897,3285CFCOVEREDHOPPER,29135.536490145816,100TROPENTOPHOPPER,41105.61287687943,null,null,7.5364399538200075,209017.65135063458,64.09,2.380112633541981,-2.021074743424096,5.70580245476299,5.706638977496637,-3.880485392940924,29.561,29.555,3.555694869991326,3.558174645646582,-4.033185311738252,58.540,58.528
BNCOIL,19140,73FTCENTERBEAM,66419.28082813579,null,null,null,null,null,null,-129.42991421831135,85559.28082813579,38.24,2.6329500121012153,-2.3869100746483167,5.108670608873435,5.072314916720561,-3.9077870000000003,29.512,29.615,2.5227280945513058,2.369709111964472,-4.049545504262584,71.430,72.940
33.7kGALTANK,45630,null,null,null,null,null,null,null,null,107.02145773268569,45630,19.98,3.025515796415754,-2.498468,5.0009187632435,5.058562211152784,-3.907787,28.417,28.259,1.9190900984790653,2.2004248301215013,-4.054793567868695,78.843,75.686
23.5kGALTANK,114514.68838083354,null,null,null,null,null,null,null,null,15.593027861351999,114514.68838083354,16.94,3.827035009114857,-2.524308,5.6722333268961265,5.675393522889662,-3.9077870000000003,24.780,24.770,3.7166004998294278,3.725950790457845,-4.0560095113586,57.737,57.684
33.7kGALTANK,69958.50759726204,BNCOIL,19140,33.7kGALTANK,98821.9004828888,100TOPENTOPHOPPER,56787.096303942584,null,null,-112.8187320422977,244707.50438409342,68.80000000000001,1.4184617641093635,-2.108067278971221,5.218492629547215,5.207597230042106,-3.8809166639227537,34.405,34.445,2.7559279463355333,2.7133543220489917,-4.037182119655023,68.075,68.455
5188COVEREDHOPPER,73315.96700313453,100TOPENTOPHOPPER,103268.6415564598,66FTGONDOLA,102838.99145962356,BNCOIL,87082.88681586072,3285CFCOVEREDHOPPER,122264.97208981612,-1.901360750008962,488771.4589248947,80.74000000000001,3.1120784341827745,-2.0424631807609464,6.089348244672511,6.089261953941704,-3.8577121921196946,26.365,26.363,4.415871028450163,4.415670857510986,-4.034452473198317,51.358,51.362
100TROPENTOPHOPPER,26540,52FTGONDOLA,29710,100TOPENTOPHOPPER,28030,null,null,null,null,-22.288403151845216,84280,48.68,2.0944040967268864,-2.2652525215946846,4.908937946377053,4.902687147892448,-3.907787,32.460,32.479,1.205688141439519,1.151441057295276,-4.043826200783457,90.022,90.866
29.3kGALTANK,115218.42509325611,TRIAUTORACK,70942.02688659592,3285CFCOVEREDHOPPER,24030,73FTCENTERBEAM,91618.75144198645,53FTWELL,24950,234.2460364116234,326759.20342183847,107.55000000000001,2.486922660966055,-1.2045285174673195,6.663087164408402,6.676406605805526,-3.5969183282942367,25.947,25.912,5.362190277352976,5.396505683621889,-4.0100805692469725,43.884,43.764
4750CFCOVEREDHOPPER,124999.75866521061,BIAUTORACK,76325.53044859911,100TOPENTOPHOPPER,28030,73FTCENTERBEAM,67189.00860714674,23.5kGALTANK,35110,-121.59064697118487,331654.29772095644,103.54,3.0188405571644337,-1.2902444192391578,6.74686242676906,6.739996587931994,-3.6210663543560266,24.615,24.627,5.3292490192081825,5.311802582832712,-4.012496267373932,43.821,43.886
5188COVEREDHOPPER,28120,3285CFCOVEREDHOPPER,24030,5188COVEREDHOPPER,28120,null,null,null,null,97.47451718227737,80270,48.12,3.7828403491138287,-2.259278,5.636300533495401,5.661956645993879,-3.9077870000000003,25.443,25.382,2.267980985793191,2.3891417997127555,-4.04353781984855,69.514,68.418
33.7kGALTANK,45630,null,null,null,null,null,null,null,null,34.52014277059388,45630,19.98,2.342582907965329,-2.498468,4.720182342913427,4.740140294320053,-3.907787,31.337,31.270,1.6241819243459805,1.7363306011499666,-4.054794545486682,85.909,84.392
3285CFCOVEREDHOPPER,121440.09391145829,null,null,null,null,null,null,null,null,-20.67138431061875,121440.09391145829,12.76,3.152755452948618,-2.5598379999999996,5.205782561602487,5.201723999963691,-3.9077870000000003,27.436,27.443,3.089572347901608,3.0748452773265376,-4.057681620557721,65.304,65.427
TRIAUTORACK,47990,52FTGONDOLA,65644.47811640224,TRIAUTORACK,81005.00061085347,BIAUTORACK,63254.03098848078,null,null,222.9902456417321,257893.5097157365,103.15,2.190301169532104,-1.684471355402141,5.969639780089613,5.987794634257133,-3.771416224915583,29.149,29.091,3.874994845405313,3.9308806404522545,-4.022559430057982,54.366,54.060
23.5kGALTANK,99966.02567521903,68FTFLAT,131609.97247984272,TRIAUTORACK,47990,null,null,null,null,1.7724292067572378,279565.99815506174,67.89000000000001,2.0879683673062166,-1.9266796001381692,5.889081768758409,5.889248160310889,-3.872427909318519,30.267,30.264,4.089331880976504,4.089568041510253,-4.028845009853039,54.222,54.225
100TROPENTOPHOPPER,110745.97588994792,null,null,null,null,null,null,null,null,127.53406822499676,110745.97588994792,16.18,2.4174755865461988,-2.530768,4.8258701874013346,4.856422936461098,-3.9077870000000003,30.652,30.555,2.241875768726854,2.3719127396094586,-4.0563137962377835,76.730,75.336
BIAUTORACK,66523.03118363614,66FTGONDOLA,127211.06797546482,100TROPENTOPHOPPER,26540,23.5kGALTANK,35110,null,null,122.37936156227937,255384.09915910097,83.18,2.159885373977678,-1.9006134588621304,5.778145876760283,5.788503190820435,-3.8589447527117176,30.402,30.365,3.534166140570759,3.5682812400222037,-4.027947878574983,58.134,57.920
BNCOIL,19140,52FTGONDOLA,86625.55103544489,BNCOIL,19140,BNCOIL,127223.20287414396,53FTWELL,24950,-245.6772087569047,277078.75390958885,81.82,3.3944610547331235,-1.9319210789571586,6.298493575075241,6.280992358415733,-3.8566822243623013,25.355,25.392,4.4150898379954615,4.364208154631058,-4.029394116666843,50.483,50.732
TRIAUTORACK,66362.26287119363,BIAUTORACK,54272.81121410329,73FTCENTERBEAM,57434.921520199176,null,null,null,null,29.841898666442546,178069.9956054961,81.75,3.9449341536806393,-1.9421648444543396,6.474020192356107,6.477129143883466,-3.8469620524640176,23.787,23.778,4.36164197348432,4.371387768890954,-4.030037239531432,49.922,49.879
5188COVEREDHOPPER,73837.52961370333,33.7kGALTANK,60924.41609019326,null,null,null,null,null,null,6.814776806108384,134761.94570389658,37.66,2.0359720680167115,-2.323076263993334,4.984524500005078,4.9859074876896186,-3.9077870000000012,32.032,32.024,2.0965387812561005,2.1021352318348607,-4.046540608177381,77.129,77.073
TRIAUTORACK,47990,68FTFLAT,53127.83194892672,null,null,null,null,null,null,15.702214952436307,101117.83194892673,50.95,2.406890264145053,-2.272787845127441,5.1053455124285625,5.109214521064962,-3.907787,30.585,30.570,1.80578018145688,1.8258411517400392,-4.04417344360905,79.437,79.204
BIAUTORACK,46439.1792922082,66FTGONDOLA,47531.279735710785,4750CFCOVEREDHOPPER,91495.71738019811,68FTFLAT,122111.53904877661,null,null,63.216250564466236,307577.7154568937,90.71000000000001,3.7996249644934474,-2.072365304660246,6.257062817431638,6.261285379128372,-3.8548150026101755,24.213,24.201,4.270091368501102,4.282214250279052,-4.036158685036372,51.307,51.251
100TROPENTOPHOPPER,84018.3935914446,25.39kGALTANK,40910,73FTCENTERBEAM,76653.94060418828,BIAUTORACK,73058.11495894416,null,null,-178.32887599166804,274640.44915457704,87.53999999999999,1.972791651348703,-1.7473044043087484,5.901062611226916,5.887256054131973,-3.777330438920109,30.171,30.213,4.06538088702502,4.024569127904945,-4.023753682385558,53.663,53.888
68FTFLAT,37060,null,null,null,null,null,null,null,null,-137.37388817948616,37060,22.35,2.2777702347289033,-2.478323,4.6735130877836015,4.576607358932058,-3.907787000000001,31.741,32.058,1.3895862429600014,0.4207679381943861,-4.053845594395776,90.624,108.829
29.3kGALTANK,86094.1785312401,23.5kGALTANK,36771.7825786752,null,null,null,null,null,null,158.7023253145087,122865.96110991531,35.18,2.199400898031856,-2.3147728124376323,5.022477151639742,5.054554772151091,-3.907787,31.346,31.239,2.001830775896087,2.1558225573890417,-4.046149501982441,77.852,76.131
25.39kGALTANK,40910,BNCOIL,19613.82682670747,66FTGONDOLA,33610,68FTFLAT,111016.37566779254,33.7kGALTANK,118321.94660557112,-94.73475836030953,323472.14910007117,95.69000000000001,3.144007091123978,-1.998843606112757,6.064399229999673,6.0583698748613335,-3.8278441317714043,25.992,26.003,4.362298796804918,4.345003318491094,-4.034711763512517,51.570,51.660
25.39kGALTANK,40910,33.7kGALTANK,84513.38239207555,null,null,null,null,null,null,-52.347297310900444,125423.38239207555,38.19,3.40278580681279,-2.392586629264147,5.539468077777526,5.53027117345704,-3.9077870000000003,26.256,26.275,3.2143663305194017,3.181163361894759,-4.049812046041868,62.138,62.386
33.7kGALTANK,45630,73FTCENTERBEAM,28120,TRIAUTORACK,47990,73FTCENTERBEAM,51277.83555329601,73FTCENTERBEAM,73093.21273912393,-12.566821488392677,246111.04829241996,122.22999999999999,2.245562656502276,-1.5133709779799847,6.072347695762661,6.071278334740356,-3.6484746589480768,28.739,28.739,4.338609412000276,4.3357571545345985,-4.013977021746966,50.679,50.696
BNCOIL,19140,4750CFCOVEREDHOPPER,63004.94167325522,5188COVEREDHOPPER,98675.40420820971,33.7kGALTANK,45630,4750CFCOVEREDHOPPER,73099.06148575342,-234.6083133422121,299549.4073672184,87.95,2.345481136216601,-1.9296240956331294,5.812571971016308,5.795745849433755,-3.851995168417135,29.382,29.430,3.737183194794495,3.6838339184263624,-4.030032701212661,56.587,56.915
BNCOIL,70325.37712739261,4750CFCOVEREDHOPPER,113856.47183150145,52FTGONDOLA,37248.29173267967,100TROPENTOPHOPPER,26540,53FTWELL,88434.44019601752,173.01561143245573,336404.58088759123,88.92000000000002,1.6147626731352283,-1.7086763092552433,5.795951250632034,5.806978343997129,-3.7691529247132314,31.798,31.755,3.749097330965077,3.7836246313205866,-4.0224455502115815,56.011,55.811
